ticker,name,market
2371.T,カカクコム,Prime
2373.T,ケア２１,Standard
2374.T,セントケア・ホールディング,Prime
2375.T,ギグワークス,Standard
2376.T,サイネックス,Standard
2378.T,ルネサンス,Prime
2379.T,ディップ,Prime
2384.T,ＳＢＳホールディングス,Prime
2385.T,総医研ホールディングス,Growth
2388.T,ウェッジホールディングス,Growth
2389.T,デジタルホールディングス,Prime
2391.T,プラネット,Standard
2393.T,日本ケアサプライ,Standard
2395.T,新日本科学,Prime
2404.T,鉄人化ホールディングス,Standard
2408.T,ＫＧ情報,Standard
2410.T,キャリアデザインセンター,Prime
2411.T,ゲンダイエージェンシー,Standard
2413.T,エムスリー,Prime
2415.T,ヒューマンホールディングス,Standard
2418.T,ツカダ・グローバルホールディング,Standard
241A.T,ＲＯＸＸ,Growth
2424.T,ブラス,Standard
2425.T,ケアサービス,Standard
2428.T,ウェルネット,Standard
2429.T,ワールドホールディングス,Prime
2432.T,ディー・エヌ・エー,Prime
2433.T,博報堂ＤＹホールディングス,Prime
2435.T,シダー,Standard
2436.T,共同ピーアール,Standard
2437.T,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,Standard
2438.T,アスカネット,Growth
2440.T,ぐるなび,Standard
2445.T,タカミヤ,Prime
2449.T,プラップジャパン,Standard
244A.T,グロースエクスパートナーズ,Growth
2454.T,オールアバウト,Standard
2459.T,アウンコンサルティング,Standard
245A.T,ＩＮＧＳ,Growth
2461.T,ファンコミュニケーションズ,Prime
2462.T,ライク,Prime
2464.T,Ａｏｂａ‐ＢＢＴ,Standard
2469.T,ヒビノ,Standard
246A.T,アスア,Growth
2471.T,エスプール,Prime
2475.T,ＷＤＢホールディングス,Prime
2477.T,手間いらず,Standard
2479.T,ジェイテック,Standard
247A.T,Ａｉロボティクス,Growth
2480.T,システム・ロケーション,Standard
2481.T,タウンニュース社,Standard
2483.T,翻訳センター,Standard
2484.T,出前館,Standard
2485.T,ティア,Standard
2488.T,ＪＴＰ,Standard
2489.T,アドウェイズ,Standard
248A.T,キッズスター,Growth
2491.T,バリューコマース,Prime
2492.T,インフォマート,Prime
2493.T,イーサポートリンク,Standard
2497.T,ユナイテッド,Growth
2498.T,オリエンタルコンサルタンツホールディングス,Standard
2499.T,日本和装ホールディングス,Standard
2501.T,サッポロホールディングス,Prime
2502.T,アサヒグループホールディングス,Prime
2503.T,キリンホールディングス,Prime
250A.T,シマダヤ,Standard
2531.T,宝ホールディングス,Prime
2533.T,オエノンホールディングス,Prime
253A.T,ＥＴＳグループ,Standard
2540.T,養命酒製造,Prime
254A.T,ＡＩフュージョンキャピタルグループ,Standard
255A.T,ジーエルテクノホールディングス,Standard
256A.T,飛島ホールディングス,Prime
2573.T,北海道コカ・コーラボトリング,Standard
2579.T,コカ・コーラ　ボトラーズジャパンホールディングス,Prime
2585.T,ライフドリンク　カンパニー,Prime
2586.T,フルッタフルッタ,Growth
2587.T,サントリー食品インターナショナル,Prime
2588.T,プレミアムウォーターホールディングス,Standard
2590.T,ダイドーグループホールディングス,Prime
2593.T,伊藤園,Prime
25935.T,伊藤園第１種優先株式,Prime
2594.T,キーコーヒー,Prime
2597.T,ユニカフェ,Standard
2602.T,日清オイリオグループ,Prime
2607.T,不二製油,Prime
2612.T,かどや製油,Standard
2613.T,Ｊ－オイルミルズ,Prime
261A.T,日水コン,Standard
262A.T,インターメスティック,Prime
264A.T,Ｓｃｈｏｏ,Growth
2652.T,まんだらけ,Standard
2653.T,イオン九州,Standard
2654.T,アスモ,Standard
2656.T,ベクターホールディングス,Standard
2659.T,サンエー,Prime
265A.T,Ｈｍｃｏｍｍ,Growth
2664.T,カワチ薬品,Prime
2666.T,オートウェーブ,Standard
2667.T,イメージ　ワン,Standard
2668.T,タビオ,Standard
2669.T,カネ美食品,Standard
2670.T,エービーシー・マート,Prime
2673.T,夢みつけ隊,Standard
2674.T,ハードオフコーポレーション,Prime
2676.T,高千穂交易,Prime
2678.T,アスクル,Prime
2681.T,ゲオホールディングス,Prime
2683.T,魚喜,Standard
2685.T,アンドエスティＨＤ,Prime
2686.T,ジーフット,Standard
2687.T,シー・ヴイ・エス・ベイエリア,Standard
2689.T,オルバヘルスケアホールディングス,Standard
268A.T,リガク・ホールディングス,Prime
2692.T,伊藤忠食品,Prime
2693.T,ＹＫＴ,Standard
2694.T,焼肉坂井ホールディングス,Standard
2695.T,くら寿司,Prime
2698.T,キャンドゥ,Standard
269A.T,Ｓａｐｅｅｔ,Growth
2700.T,木徳神糧,Standard
2702.T,日本マクドナルドホールディングス,Standard
2705.T,大戸屋ホールディングス,Standard
2708.T,久世,Standard
2721.T,ジェイホールディングス,Standard
2722.T,ＩＫホールディングス,Standard
2726.T,パルグループホールディングス,Prime
2730.T,エディオン,Prime
2733.T,あらた,Prime
2734.T,サーラコーポレーション,Prime
2735.T,ワッツ,Standard
2736.T,フェスタリアホールディングス,Standard
2737.T,トーメンデバイス,Prime
2742.T,ハローズ,Prime
2747.T,北雄ラッキー,Standard
2749.T,ＪＰホールディングス,Prime
274A.T,ガーデン,Standard
2750.T,石光商事,Standard
2751.T,テンポスホールディングス,Standard
2752.T,フジオフードグループ本社,Prime
2753.T,あみやき亭,Prime
2760.T,東京エレクトロン　デバイス,Prime
2762.T,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,Standard
2763.T,エフティグループ,Standard
2764.T,ひらまつ,Standard
2767.T,円谷フィールズホールディングス,Prime
2768.T,双日,Prime
2769.T,ヴィレッジヴァンガードコーポレーション,Standard
276A.T,ククレブ・アドバイザーズ,Growth
2776.T,新都ホールディングス,Standard
2778.T,パレモ・ホールディングス,Standard
277A.T,グロービング,Growth
2780.T,コメ兵ホールディングス,Standard
2782.T,セリア,Standard
2784.T,アルフレッサ　ホールディングス,Prime
2788.T,アップルインターナショナル,Standard
2789.T,カルラ,Standard
278A.T,Ｔｅｒｒａ　Ｄｒｏｎｅ,Growth
2790.T,ナフコ,Standard
2791.T,大黒天物産,Prime
2792.T,ハニーズホールディングス,Prime
2795.T,日本プリメックス,Standard
2796.T,ファーマライズホールディングス,Standard
2798.T,ワイズテーブルコーポレーション,Standard
2801.T,キッコーマン,Prime
2802.T,味の素,Prime
2804.T,ブルドックソース,Prime
2805.T,ヱスビー食品,Standard
2806.T,ユタカフーズ,Standard
2809.T,キユーピー,Prime
280A.T,ＴＭＨ,Growth
2810.T,ハウス食品グループ本社,Prime
2811.T,カゴメ,Prime
2813.T,和弘食品,Standard
2814.T,佐藤食品工業,Standard
2815.T,アリアケジャパン,Prime
2816.T,ダイショー,Standard
2818.T,ピエトロ,Standard
2819.T,エバラ食品工業,Standard
281A.T,インフォメティス,Growth
2820.T,やまみ,Standard
2831.T,はごろもフーズ,Standard
285A.T,キオクシアホールディングス,Prime
286A.T,ユカリア,Growth
2871.T,ニチレイ,Prime
2872.T,セイヒョー,Standard
2874.T,横浜冷凍,Prime
2875.T,東洋水産,Prime
2876.T,デルソーレ,Standard
2877.T,日東ベスト,Standard
287A.T,黒田グループ,Standard
2882.T,イートアンドホールディングス,Prime
2883.T,大冷,Standard
2884.T,ヨシムラ・フード・ホールディングス,Prime
288A.T,ラクサス・テクノロジーズ,Growth
2892.T,日本食品化工,Standard
2894.T,石井食品,Standard
2897.T,日清食品ホールディングス,Prime
2901.T,ウェルディッシュ,Standard
2903.T,シノブフーズ,Standard
2904.T,一正蒲鉾,Standard
2907.T,あじかん,Standard
2908.T,フジッコ,Prime
290A.T,Ｓｙｎｓｐｅｃｔｉｖｅ,Growth
2910.T,ロック・フィールド,Prime
2911.T,旭松食品,Standard
2914.T,日本たばこ産業,Prime
2915.T,ケンコーマヨネーズ,Prime
2916.T,仙波糖化工業,Standard
2917.T,大森屋,Standard
2918.T,わらべや日洋ホールディングス,Prime
291A.T,リスキル,Growth
2922.T,なとり,Prime
2923.T,サトウ食品,Standard
2924.T,イフジ産業,Standard
2926.T,篠崎屋,Standard
2927.T,ＡＦＣ－ＨＤアムスライフサイエンス,Standard
2929.T,ファーマフーズ,Prime
2930.T,北の達人コーポレーション,Prime
2931.T,ユーグレナ,Prime
2932.T,ＳＴＩフードホールディングス,Standard
2933.T,紀文食品,Prime
2934.T,ジェイフロンティア,Growth
2935.T,ピックルスホールディングス,Prime
2936.T,ベースフード,Growth
2937.T,サンクゼール,Growth
2938.T,オカムラ食品工業,Standard
2961.T,日本調理機,Standard
2962.T,テクニスコ,Standard
296A.T,令和アカウンティング・ホールディングス,Growth
2970.T,ＧＬＣ　ＧＲＯＵＰ,Standard
2975.T,スター・マイカ・ホールディングス,Prime
2978.T,ツクルバ,Growth
297A.T,アルピコホールディングス,Standard
2980.T,ＳＲＥホールディングス,Prime
2981.T,ランディックス,Growth
2982.T,ＡＤワークスグループ,Prime
2983.T,アールプランナー,Growth
2984.T,ヤマイチエステート,Standard
2986.T,ＬＡホールディングス,Growth
298A.T,ＧＶＡ　ＴＥＣＨ,Growth
2991.T,ランドネット,Standard
2993.T,長栄,Standard
2997.T,ストレージ王,Growth
2998.T,クリアル,Growth
2999.T,ホームポジション,Standard
299A.T,クラシル,Growth
3001.T,片倉工業,Standard
3002.T,グンゼ,Prime
3003.T,ヒューリック,Prime
3004.T,神栄,Standard
300A.T,ＭＩＣ,Standard
3010.T,ポラリス・ホールディングス,Standard
3011.T,バナーズ,Standard
3020.T,アプライド,Standard
3021.T,パシフィックネット,Standard
3023.T,ラサ商事,Standard
3024.T,クリエイト,Standard
3028.T,アルペン,Prime
302A.T,ビースタイルホールディングス,Growth
3030.T,ハブ,Standard
3031.T,ラクーンホールディングス,Prime
3034.T,クオールホールディングス,Prime
3035.T,ケイティケイ,Standard
3036.T,アルコニックス,Prime
3038.T,神戸物産,Prime
303A.T,ｖｉｓｕｍｏ,Growth
3040.T,ソリトンシステムズ,Prime
3041.T,ビューティカダンホールディングス,Standard
3042.T,セキュアヴェイル,Standard
3045.T,カワサキ,Standard
3046.T,ジンズホールディングス,Prime
3048.T,ビックカメラ,Prime
304A.T,フォルシア,Growth
3050.T,ＤＣＭホールディングス,Prime
3053.T,ペッパーフードサービス,Standard
3054.T,ハイパー,Standard
3058.T,三洋堂ホールディングス,Standard
